Данные измерений. Отсчеты таймера. 1193180 отсчетов - 1 секунда.
Всего проведено измерений:  802 
T1 - момент нарушения оптического тракта.
 T2 - момент восстановления оптического тракта.
 #N |   T1   |   T2  |   dT |   T  |  
 0 , 1598589,  1601705,  3116 
501 , 290193900,  290200708,  6808 , 1711867 
502 , 291025813,  291032636,  6823 , 1663841 
503 , 291881384,  291888218,  6834 , 1711153 
504 , 292712852,  292719702,  6850 , 1662952 
505 , 293568030,  293574891,  6861 , 1710367 
506 , 294399037,  294405913,  6876 , 1662029 
507 , 295253871,  295260758,  6887 , 1709679 
508 , 296084396,  296091299,  6903 , 1661066 
509 , 296938897,  296945812,  6915 , 1709014 
510 , 297768948,  297775876,  6928 , 1660115 
511 , 298623065,  298630005,  6940 , 1708246 
512 , 299452716,  299459671,  6955 , 1659317 
513 , 300306463,  300313429,  6966 , 1707505 
514 , 301135698,  301142680,  6982 , 1658486 
515 , 301989120,  301996115,  6995 , 1706857 
516 , 302817922,  302824931,  7009 , 1657618 
517 , 303671036,  303678056,  7020 , 1706239 
518 , 304499394,  304506427,  7033 , 1656729 
519 , 305352170,  305359216,  7046 , 1705565 
520 , 306180107,  306187170,  7063 , 1655891 
521 , 307032554,  307039627,  7073 , 1704904 
522 , 307860070,  307867156,  7086 , 1655045 
523 , 308712215,  308719313,  7098 , 1704302 
524 , 309539320,  309546433,  7113 , 1654225 
525 , 310391163,  310398289,  7126 , 1703699 
526 , 311217853,  311224993,  7140 , 1653394 
527 , 312069369,  312076523,  7154 , 1703046 
528 , 312895652,  312902818,  7166 , 1652578 
529 , 313746864,  313754041,  7177 , 1702435 
530 , 314572740,  314579935,  7195 , 1651770 
531 , 315423651,  315430857,  7206 , 1701833 
532 , 316249162,  316256383,  7221 , 1651037 
533 , 317099760,  317106992,  7232 , 1701207 
534 , 317924859,  317932106,  7247 , 1650213 
535 , 318775168,  318782427,  7259 , 1700630 
536 , 319599869,  319607142,  7273 , 1649416 
537 , 320449883,  320457169,  7286 , 1700041 
538 , 321274201,  321281502,  7301 , 1648651 
539 , 322123927,  322131239,  7312 , 1699463 
540 , 322947865,  322955193,  7328 , 1647892 
541 , 323797299,  323804640,  7341 , 1698881 
542 , 324620866,  324628221,  7355 , 1647148 
543 , 325470020,  325477386,  7366 , 1698319 
544 , 326293223,  326300604,  7381 , 1646421 
545 , 327142105,  327149499,  7394 , 1697777 
